source_id, target_id, reporter
'10.1111/pala.12281', '10.5061/dryad.320h5', 'Crossref'
'10.1002/hbm.23471', '10.5061/dryad.8b146', 'Crossref'
'10.1007/978-94-017-7499-4_14', '10.5061/dryad.7908', 'Crossref'
'10.1007/978-94-017-7499-4_14', '10.5061/dryad.7gp1f', 'Crossref'
'10.1111/bij.12498', '10.5061/dryad.qb2jk', 'Crossref'
'10.1111/bij.12449', '10.5061/dryad.p2501', 'Crossref'
'10.1111/bij.12829', '10.5061/dryad.6p2v0', 'Crossref'
'10.1111/bij.12858', '10.5061/dryad.cr1m5', 'Crossref'
'10.1111/bij.12878', '10.5061/dryad.1225k', 'Crossref'
'10.1111/bij.12917', '10.5061/dryad.6q1q6', 'Crossref'
'10.1111/bij.12450', '10.5061/dryad.br874', 'Crossref'
'10.1111/bij.12040', '10.5061/dryad.q34fp', 'Crossref'
'10.1111/bij.12440', '10.5061/dryad.kk65m', 'Crossref'
'10.1111/bij.12759', '10.5061/dryad.f5667', 'Crossref'
'10.7554/eLife.20975', '10.5061/dryad.bn1gf', 'Crossref'
'10.1111/bij.12790', '10.5061/dryad.sg112', 'Crossref'
'10.1111/bij.12702', '10.5061/dryad.vc348', 'Crossref'
'10.1111/bij.12728', '10.5061/dryad.3tv33', 'Crossref'
'10.1111/bij.12826', '10.5061/dryad.b1c06', 'Crossref'
'10.1111/bij.12441', '10.5061/dryad.1f4k3', 'Crossref'
'10.1111/1365-2745.12606', '10.5061/dryad.6s2h0', 'Crossref'
'10.1111/j.1095-8312.2012.02022.x', '10.5061/dryad.j9769', 'Crossref'
'10.1111/bij.12446', '10.5061/dryad.s9v06', 'Crossref'
'10.1111/bij.12830', '10.5061/dryad.m4452', 'Crossref'
'10.1111/bij.12845', '10.5061/dryad.r1d8q', 'Crossref'
'10.1111/j.1095-8312.2011.01719.x', '10.5061/dryad.808p0', 'Crossref'
'10.1111/bij.12746', '10.5061/dryad.84t75', 'Crossref'
'10.1111/bij.12746', '10.5061/dryad.gp16s', 'Crossref'
'10.1111/bij.12746', '10.5061/dryad.pg46f', 'Crossref'
'10.1111/bij.12832', '10.5061/dryad.bm562', 'Crossref'
'10.1111/j.1095-8312.2012.02040.x', '10.5061/dryad.6sf11', 'Crossref'
'10.1007/s00239-017-9786-8', '10.5061/dryad.r4g3g', 'Crossref'
'10.1007/s00359-017-1181-9', '10.5061/dryad.1c394', 'Crossref'
'10.1007/s00265-017-2315-3', '10.5061/dryad.406fd', 'Crossref'
'10.1007/s00300-017-2114-3', '10.5061/dryad.ph8s5', 'Crossref'
'10.1007/s10021-016-0029-4', '10.5061/dryad.234', 'Crossref'
'10.1007/s00300-017-2114-3', '10.5061/dryad.4rr39', 'Crossref'
