"url","id","title","disc_cat_1","disc_cat_2","disc_cat_3","disc_cat_4","disc_cat_5"
"http://arcticdata.io/catalog/view/doi:10.5065/D6GF0RHK","doi:10.5065/D6GF0RHK","HLY-07-01 Nitrate Isotope Data [Granger, J.]","Oceanography",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2QF9K","doi:10.18739/A2QF9K","Hydroxyl (OH) airglow image data, Alaska, March 22, 2012","Atmospheric Science",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.5065/D65T3HJ8","doi:10.5065/D65T3HJ8","HLY-02-03 Dissolved Organic Carbon (DOC) Data [Hansell, D. and N.R. Bates]","Oceanography",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2CG59","doi:10.18739/A2CG59","WHOI Ice Tethered Profiler #11","Oceanography","Cryology",NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.5065/D6VT1Q6Q","doi:10.5065/D6VT1Q6Q","Geochemical analyses of Icelandic tephra preserved in lake sediments","geology/geophysics","Hydrology",NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.5065/D6JW8BX4","doi:10.5065/D6JW8BX4","HLY-02-01 ADCP Data (30-min Averages) [Muenchow, A.]","Oceanography",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2SC4M","doi:10.18739/A2SC4M","SWERUS-C3 Expedition EK80 sonar data, Eastern Siberian Arctic margin, October 1 - 2, 2014","Oceanography",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.5065/D647480D","doi:10.5065/D647480D","ArcticRIMS: NCEP Reanalysis Temperature","model output","Atmospheric Science",NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.5065/D6930R4N","doi:10.5065/D6930R4N","HLY-08-03 Raw Knudsen 320B/R Depth Sounder Data [Sambrotto/LDEO]","Oceanography",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2SX64880","doi:10.18739/A2SX64880","Growing season, non-growing season and annual methane (CH4) fluxes from temperate, boreal, and Arctic wetlands and uplands (synthesis), 1989-2016","Atmospheric Science",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.5065/D6NG4NQF","doi:10.5065/D6NG4NQF","HLY-04-03 Weather Logs [USCG]","Atmospheric Science",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2631F","doi:10.18739/A2631F","Referencing Layers for Remote Sensing Products","aerial imagery/basemaps",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.5065/D68S4N0Q","doi:10.5065/D68S4N0Q","Chukchi Sea Sediment Core Lipid Analysis, Station 2 (ASCII) [Harvey, R.]","Oceanography","geology/geophysics",NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2DC12","doi:10.18739/A2DC12","Hydroxyl (OH) airglow image data, Alaska, December 7, 2012","Atmospheric Science",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.5065/D6BP010B","doi:10.5065/D6BP010B","Wadati Conference Hydrologic Response Abstract [Hinzman, L., D. Kane, D. Goering]","Hydrology",NA,NA,NA,NA
