target_id,source_id,source_url,link_publication_date,origin,title,publisher,journal,volume,page,year_of_publishing,citationMetadata
10.5065/D6MW2F2H,10.1016/j.csr.2016.02.008,https://doi.org/10.1016/j.csr.2016.02.008,2017-05-31,"I.J. Smith, H. Eicken, A.R. Mahoney, R. Van Hale, A.J. Gough, Y. Fukamachi, J. Jones",Surface water mass composition changes captured by cores of Arctic land-fast sea ice,Elsevier BV,Continental Shelf Research,118,154-164,2016,
10.5065/D6930R6J,10.1007/s11111-016-0259-6,https://doi.org/10.1007/s11111-016-0259-6,2020-09-27,"Lawrence C. Hamilton, Kei Saito, Philip A. Loring, Richard B. Lammers, Henry P. Huntington",Climigration? Population and climate change in Arctic Alaska,Springer Science and Business Media LLC,Population and Environment,38,115-133,2016,
10.5065/D6930R6J,10.1007/s11111-016-0259-6,https://doi.org/10.1007/s11111-016-0259-6,2020-09-27,"Lawrence C. Hamilton, Kei Saito, Philip A. Loring, Richard B. Lammers, Henry P. Huntington",Climigration? Population and climate change in Arctic Alaska,Springer Science and Business Media LLC,Population and Environment,38,115-133,2016,
10.18739/A2TD9N813,10.1007/s11111-016-0259-6,https://doi.org/10.1007/s11111-016-0259-6,2020-09-27,"Lawrence C. Hamilton, Kei Saito, Philip A. Loring, Richard B. Lammers, Henry P. Huntington",Climigration? Population and climate change in Arctic Alaska,Springer Science and Business Media LLC,Population and Environment,38,115-133,2016,
10.5065/D6JH3J7Z,10.1080/15481603.2016.1230084,https://doi.org/10.1080/15481603.2016.1230084,2017-06-01,"Lincoln H Pitcher, Laurence C. Smith, Colin J. Gleason, Kang Yang",CryoSheds: a GIS modeling framework for delineating land-ice watersheds for the Greenland Ice Sheet,Informa UK Limited,GIScience & Remote Sensing,53,707-722,2016,
10.5065/D6BG2KW9,10.1002/2015JC011318,https://doi.org/10.1002/2015JC011318,2017-06-01,"Daisuke Hirano, Yasushi Fukamachi, Eiji Watanabe, Kay I. Ohshima, Katsushi Iwamoto, Andrew R. Mahoney, Hajo Eicken, Daisuke Simizu, Takeshi Tamura","A wind-driven, hybrid latent and sensible heat coastal polynya off Barrow, Alaska",American Geophysical Union (AGU),Journal of Geophysical Research: Oceans,121,980-997,2016,
10.5065/D6MW2F2H,10.5194/tc-10-2923-2016,https://doi.org/10.5194/tc-10-2923-2016,2018-09-07,"Megan O&amp;apos;Sadnick, Malcolm Ingham, Hajo Eicken, Erin Pettit","In situ field measurements of the temporal evolution of low-frequency sea-ice dielectric properties in relation to temperature, salinity, and microstructure",Copernicus GmbH,The Cryosphere,10,2923-2940,2016,
10.5065/D63X84KG,10.5194/tc-10-2923-2016,https://doi.org/10.5194/tc-10-2923-2016,2018-09-07,"Megan O&amp;apos;Sadnick, Malcolm Ingham, Hajo Eicken, Erin Pettit","In situ field measurements of the temporal evolution of low-frequency sea-ice dielectric properties in relation to temperature, salinity, and microstructure",Copernicus GmbH,The Cryosphere,10,2923-2940,2016,
10.5065/D63X84KG,10.5194/tc-9-305-2015,https://doi.org/10.5194/tc-9-305-2015,2018-09-07,"P. J. Griewank, D. Notz",A 1-D modelling study of Arctic sea-ice salinity,Copernicus GmbH,The Cryosphere,9,305-329,2015,
10.5065/D61J97TT,10.5194/amt-9-3641-2016,https://doi.org/10.5194/amt-9-3641-2016,2018-09-07,"Penny M. Rowe, Christopher J. Cox, Von P. Walden",Toward autonomous surface-based infrared remote sensing of polar clouds: cloud-height retrievals,Copernicus GmbH,Atmospheric Measurement Techniques,9,3641-3659,2016,
