article_id,article_title,dataset_id,source
10.1073/PNAS.2016544117,Coupled impacts of sea ice variability and North Pacific atmospheric circulation on Holocene hydroclimate in Arctic Alaska,10.18739/A2ZS2KC8C,scopus
10.5194/essd-11-1957-2019,"An Arctic watershed observatory at Lake Peters, Alaska: Weather-glacier-river-lake system data for 2015-2018",10.18739/A2ZS2KC8C,scopus
10.5194/essd-11-1957-2019,"An Arctic watershed observatory at Lake Peters, Alaska: Weather-glacier-river-lake system data for 2015-2018",10.18739/A2BZ6178M,scopus
10.1029/2021JD036140,The Role of Snow in Controlling Halogen Chemistry and Boundary Layer Oxidation During Arctic Spring: A 1D Modeling Case Study,10.5065/D6GB2260,scopus
10.5194/essd-11-1957-2019,"An Arctic watershed observatory at Lake Peters, Alaska: Weather-glacier-river-lake system data for 2015-2018",10.18739/A2V11VK4J,scopus
10.1029/2019JC015569,How Machine Learning and High-Resolution Imagery Can Improve Melt Pond Retrieval From MODIS Over Current Spectral Unmixing Techniques,10.18739/A22Z12P4J,scopus
10.5194/cp-14-637-2018,Aromatic acids in an Arctic ice core from Svalbard: A proxy record of biomass burning,10.18739/A2Q572,scopus
10.1029/2019MS001766,The DOE E3SM v1.1 Biogeochemistry Configuration: Description and Simulated Ecosystem-Climate Responses to Historical Changes in Forcing,10.5065/D6Q23X81,scopus
10.1029/2019JG005343,Relative Impact of Sea Ice and Temperature Changes on Arctic Marine Production,10.5065/D6Q23X81,scopus
10.1029/2018MS001524,E3SMv0-HiLAT: A Modified Climate System Model Targeted for the Study of High-Latitude Processes,10.5065/D6Q23X81,scopus
10.1029/2021JF006362,"Functional Lake-to-Channel Connectivity Impacts Lake Ice in the Colville Delta, Alaska",10.5065/D6MC8X5R,scopus
10.1088/1748-9326/abf965,Remote sensing of lake ice phenology in Alaska,10.5065/D6MC8X5R,scopus
10.3390/rs11182163,A high-resolution airborne color-infrared camera water mask for the NASA ABoVE campaign,10.5065/D6MC8X5R,scopus
10.3390/rs11141718,"Remote sensing of lake ice phenology across a range of lakes sizes, ME, USA",10.5065/D6MC8X5R,scopus
10.1016/j.dsr2.2016.08.009,3-D water properties and geostrophic circulation on the eastern Bering Sea shelf,10.5065/D6GT5K65,scopus
10.1002/2017JG004002,"Spatial and Temporal Variation in Methane Concentrations, Fluxes, and Sources in Lakes in Arctic Alaska",10.18739/A2NW2S,scopus
10.1029/2020GL089894,Carbon Dioxide and Methane Flux in a Dynamic Arctic Tundra Landscape: Decadal-Scale Impacts of Ice Wedge Degradation and Stabilization,10.18739/A25W5K,scopus
10.1007/s00300-020-02632-3,Recent change in benthic macrofaunal community composition in relation to physical forcing in the Pacific Arctic,10.18739/A2NG4GR21,scopus
10.1016/j.dsr2.2016.08.009,3-D water properties and geostrophic circulation on the eastern Bering Sea shelf,10.5065/D6NG4NM3,scopus
10.1029/2020GB006629,Summertime Biogenic Silica Production and Silicon Limitation in the Pacific Arctic Region From 2006 to 2016,10.5065/D6FT8J2S,scopus
