article_id,article_title,dataset_id,source
10.1038/s41598-022-10712-z,Spinning ice floes reveal intensification of mesoscale eddies in the western Arctic Ocean,10.7265/N5K072F8,scopus
10.1029/2021JC017970,"Distribution, Sources, and Dynamics of Particulate Matter Along Trans-Arctic Sections",10.7265/N5K072F8,scopus
10.5194/gmd-15-3941-2022,Description of historical and future projection simulations by the global coupled E3SMv1.0 model as used in CMIP6,10.7265/N5K072F8,scopus
10.1029/2022GL098385,Record Low Arctic Sea Ice Extent in 2012 Linked to Two-Year La Niña-Driven Sea Surface Temperature Pattern,10.7265/N5K072F8,scopus
10.1175/JCLI-D-21-0543.1,Uncertainty in the Winter Tropospheric Response to Arctic Sea Ice Loss: The Role of Stratospheric Polar Vortex Internal Variability,10.7265/N5K072F8,scopus
10.5194/tc-16-1563-2022,Characterizing the sea-ice floe size distribution in the Canada Basin from high-resolution optical satellite imagery,10.7265/N5K072F8,scopus
10.1038/s41561-022-00938-x,Antarctic ice-shelf advance driven by anomalous atmospheric and sea-ice circulation,10.7265/N5K072F8,scopus
10.1038/s41558-022-01339-z,Antarctic sea-ice expansion and Southern Ocean cooling linked to tropical variability,10.7265/N5K072F8,scopus
10.5194/cp-18-657-2022,Warm mid-Pliocene conditions without high climate sensitivity: the CCSM4-Utrecht (CESM 1.0.5) contribution to the PlioMIP2,10.7265/N5K072F8,scopus
10.1029/2021MS002679,Less Surface Sea Ice Melt in the CESM2 Improves Arctic Sea Ice Simulation With Minimal Non-Polar Climate Impacts,10.7265/N5K072F8,scopus
10.1371/journal.pone.0265934,Changes in gray whale phenology and distribution related to prey variability and ocean biophysics in the northern Bering and eastern Chukchi seas,10.7265/N5K072F8,scopus
10.1111/gcb.16085,Strong and lasting impacts of past global warming on baleen whales and their prey,10.7265/N5K072F8,scopus
10.1007/s00376-021-1130-y,The Predictability of Ocean Environments that Contributed to the 2020/21 Extreme Cold Events in China: 2020/21 La Niña and 2020 Arctic Sea Ice Loss,10.7265/N5K072F8,scopus
10.5194/tc-16-779-2022,"Regional variability of diatoms in ice cores from the Antarctic Peninsula and Ellsworth Land, Antarctica",10.7265/N5K072F8,scopus
10.1029/2021MS002814,CMIP6 Simulations With the CMCC Earth System Model (CMCC-ESM2),10.7265/N5K072F8,scopus
10.1029/2021JC017762,Impact of Ocean Heat Transport on Arctic Sea Ice Variability in the GFDL CM2-O Model Suite,10.7265/N5K072F8,scopus
10.1175/WAF-D-21-0148.1,Objective and Probabilistic Long-Range Forecasts of Summertime Air Temperatures in South Korea Based on Gaussian Processes,10.7265/N5K072F8,scopus
10.1175/JCLI-D-21-0376.1,Impact of Local Atmospheric Intraseasonal Variability on Mean Sea Ice State in the Arctic Ocean,10.7265/N5K072F8,scopus
10.1111/gcb.16037,Decadal trend of plankton community change and habitat shoaling in the Arctic gateway recorded by planktonic foraminifera,10.7265/N5K072F8,scopus
10.1175/JCLI-D-21-0199.1,A Comparison of Factors That Led to the Extreme Sea Ice Minima in the Twenty-First Century in the Arctic Ocean,10.7265/N5K072F8,scopus
10.1175/JCLI-D-21-0099.1,Reconstructing Arctic Sea Ice over the Common Era Using Data Assimilation,10.7265/N5K072F8,scopus
10.5194/gmd-15-1155-2022,An improved regional coupled modeling system for Arctic sea ice simulation and prediction: A case study for 2018,10.7265/N5K072F8,scopus
10.5194/bg-19-585-2022,Distribution of coccoliths in surface sediments across the Drake Passage and calcification of Emiliania huxleyi morphotypes,10.7265/N5K072F8,scopus
10.5194/gmd-15-553-2022,"PARASO, a circum-Antarctic fully coupled ice-sheet-ocean-sea-ice-Atmosphere-land model involving f.ETISh1.7, NEMO3.6, LIM3.6, COSMO5.0 and CLM4.5",10.7265/N5K072F8,scopus
10.5194/cp-18-129-2022,Reconstructing Antarctic winter sea-ice extent during Marine Isotope Stage 5e,10.7265/N5K072F8,scopus
10.1002/ecs2.4094,Collaborative wildlife–snow science: Integrating wildlife and snow expertise to improve research and management,10.7265/N52R3PMC,scopus
10.1175/JHM-D-21-0198.1,Land–Snow Data Assimilation Including a Moderately Coupled Initialization Method Applied to NWP,10.7265/N52R3PMC,scopus
10.1029/2021GL097117,Skillful Seasonal Forecasts of Land Carbon Uptake in Northern Mid- and High Latitudes,10.7265/N52R3PMC,scopus
10.1007/s10584-021-03294-8,"Projections of North American snow from NA-CORDEX and their uncertainties, with a focus on model resolution",10.7265/N52R3PMC,scopus
10.5194/tc-16-159-2022,Sentinel-1 snow depth retrieval at sub-kilometer resolution over the European Alps,10.7265/N52R3PMC,scopus
10.5194/tc-15-4781-2021,"Recent changes in pan-Arctic sea ice, lake ice, and snow-on/off timing",10.7265/N52R3PMC,scopus
10.5194/acp-21-14725-2021,Ice-nucleating particle concentration measurements from Ny-Ålesund during the Arctic spring-summer in 2018,10.7265/N52R3PMC,scopus
10.1029/2021GL094307,Liquid Containing Clouds at the North Slope of Alaska Demonstrate Sensitivity to Local Industrial Aerosol Emissions,10.7265/N52R3PMC,scopus
10.1016/j.ecolind.2021.107822,Satellite remote sensing to assess cyanobacterial bloom frequency across the United States at multiple spatial scales,10.7265/N52R3PMC,scopus
10.1175/BAMS-D-21-0086.1,The arctic,10.7265/N52R3PMC,scopus
10.1029/2021WR029955,Single-Column Validation of a Snow Subgrid Parameterization in the Rapid Update Cycle Land-Surface Model (RUC LSM),10.7265/N52R3PMC,scopus
10.5194/acp-21-11317-2021,"Differentiation of coarse-mode anthropogenic, marine and dust particles in the High Arctic islands of Svalbard",10.7265/N52R3PMC,scopus
10.1109/JSTARS.2021.3102965,"Passive microwave brightness temperature assimilation to improve snow mass estimation across complex terrain in Pakistan, Afghanistan, and Tajikistan",10.7265/N52R3PMC,scopus
10.1175/BAMS-D-20-0086.1,State of the climate in 2019 the arctic,10.7265/N52R3PMC,scopus
10.5194/isprs-archives-XLIII-B3-2020-853-2020,Role of earth observation data and hydrological modeling in supporting un SDGS in North West Himalaya,10.7265/N52R3PMC,scopus
10.1029/2020JD032670,Subseasonal Prediction of Land Cold Extremes in Boreal Wintertime,10.7265/N52R3PMC,scopus
10.1029/2019GL086710,Channel Network Control on Seasonal Lake Area Dynamics in Arctic Deltas,10.7265/N52R3PMC,scopus
10.5194/wes-5-375-2020,"Europe's offshore winds assessed with synthetic aperture radar, ASCAT and WRF",10.7265/N52R3PMC,scopus
10.1029/2019JD030823,Can Convection-Permitting Modeling Provide Decent Precipitation for Offline High-Resolution Snowpack Simulations Over Mountains?,10.7265/N52R3PMC,scopus
10.1021/acs.est.9b00991,Biogenic Sources of Ice Nucleating Particles at the High Arctic Site Villum Research Station,10.7265/N52R3PMC,scopus
10.5194/tc-13-2221-2019,Evaluation of snow depth and snow cover over the Tibetan Plateau in global reanalyses using in situ and satellite remote sensing observations,10.7265/N52R3PMC,scopus
10.1029/2019JD030684,Modeling Blowing Snow Over the Tibetan Plateau With the Community Land Model: Method and Preliminary Evaluation,10.7265/N52R3PMC,scopus
10.5194/acp-19-5293-2019,Annual variability of ice-nucleating particle concentrations at different Arctic locations,10.7265/N52R3PMC,scopus
10.5194/hess-23-1867-2019,Midwinter melts in the Canadian prairies: Energy balance and hydrological effects,10.7265/N52R3PMC,scopus
10.22449/1573-160X-2019-5-438-450,Long-term variability of thermohaline characteristics of the azov sea based on the numerical eddy-resolving model,10.7265/N52R3PMC,scopus
10.1175/JCLI-D-21-0951.1,Interannual Variation and Prediction of Wintertime Precipitation in Central Asia,10.7289/V5N014G9,scopus
10.5194/gmd-15-3691-2022,GREB-ISM v1.0: A coupled ice sheet model for the Globally Resolved Energy Balance model for global simulations on timescales of 100 kyr,10.7289/V5N014G9,scopus
10.1007/s00382-021-06035-w,Interdecadal change in the effect of Tibetan Plateau snow cover on spring precipitation over Eastern China around the early 1990s,10.7289/V5N014G9,scopus
10.1175/WAF-D-21-0148.1,Objective and Probabilistic Long-Range Forecasts of Summertime Air Temperatures in South Korea Based on Gaussian Processes,10.7289/V5N014G9,scopus
10.1002/ecm.1530,Climate drove the fire cycle and humans influenced fire occurrence in the East European boreal forest,10.7289/V5N014G9,scopus
10.1007/s00382-022-06254-9,Predictability of the two temperature modes of the East Asian winter monsoon in the NCEP-CFSv2 and MRI-CPSv2 models,10.7289/V5N014G9,scopus
10.1002/joc.7224,Climatology of Northern Hemisphere Cryo-cover,10.7289/V5N014G9,scopus
10.5194/esd-12-1061-2021,Climate change in the High Mountain Asia in CMIP6,10.7289/V5N014G9,scopus
10.1175/JCLI-D-21-0113.1,Seasonal forecast of nonmonsoonal winter precipitation over the eurasian continent using machine-learning models,10.7289/V5N014G9,scopus
10.1175/BAMS-D-21-0086.1,The arctic,10.7289/V5N014G9,scopus
10.1175/JCLI-D-21-0009.1,Increased impact of the tibetan plateau spring snow cover to the Mei-yu Rainfall over the Yangtze River valley after the 1990s,10.7289/V5N014G9,scopus
10.1175/BAMS-D-20-0177.1,Minimum snow/ice extent over the northern circumpolar landmass in 2000-19: How much snow survives the summer melt?,10.7289/V5N014G9,scopus
10.1007/s10584-021-03057-5,Indicators of climate change impacts on the water cycle and water management,10.7289/V5N014G9,scopus
