"article_id","article_title","dataset_id","source"
"10.1038/s41598-022-15440-y","Total isostatic response to the complete unloading of the Greenland and Antarctic Ice Sheets","10.18739/A2280509Z","springer"
"10.1038/s41598-022-07561-1","Earlier snowmelt may lead to late season declines in plant productivity and carbon sequestration in Arctic tundra ecosystems","10.18739/A2ZG6G80B","springer"
"10.1038/s41598-021-94788-z","Warming Arctic summers unlikely to increase productivity of shorebirds through renesting","10.18739/A23R0PT35","springer"
"10.1038/s43247-020-00050-1","Arctic riparian shrub expansion indicates a shift from streams gaining water to those that lose flow","10.18739/A2GB1XH26","springer"
"10.1007/s00300-020-02632-3","Recent change in benthic macrofaunal community composition in relation to physical forcing in the Pacific Arctic","10.18739/A2NG4GR21","springer"
"10.1038/s41467-019-11103-1","Controls of soil organic matter on soil thermal dynamics in the northern high latitudes","10.5065/D66971QC","springer"
"10.1007/s00300-020-02632-3","Recent change in benthic macrofaunal community composition in relation to physical forcing in the Pacific Arctic","10.18739/A2V11VK2K","springer"
"10.1038/s43247-020-00050-1","Arctic riparian shrub expansion indicates a shift from streams gaining water to those that lose flow","10.18739/A2H708100","springer"
"10.1038/s43247-020-00050-1","Arctic riparian shrub expansion indicates a shift from streams gaining water to those that lose flow","10.18739/A2CF9J66P","springer"
"10.1038/sdata.2017.116","A new global anthropogenic heat estimation based on high-resolution nighttime light data","10.5065/D6V40S9M","springer"
"10.1038/s41586-020-1991-8","Preindustrial ^14CH_4 indicates greater anthropogenic fossil CH_4 emissions","10.18739/A2599Z216","springer"
"10.1038/sdata.2019.37","Circumpolar permafrost maps and geohazard indices for near-future infrastructure risk assessments","10.5065/D6N014HK","springer"
"10.1038/s43247-020-00050-1","Arctic riparian shrub expansion indicates a shift from streams gaining water to those that lose flow","10.18739/A2G15TB43","springer"
"10.1038/s41597-020-00578-z","Arctic tidal current atlas","10.5065/D6J964FR","springer"
"10.1007/s00300-017-2179-z","Sipunculan fauna in the Pacific Arctic region: a significant component of benthic infaunal communities","10.5065/D6H70CVR","springer"
"10.1038/s41597-020-00578-z","Arctic tidal current atlas","10.18739/A20K5X","springer"
"10.1038/s41558-019-0688-1","Complexity revealed in the greening of the Arctic","10.5065/D6542KRH","springer"
"10.1038/sdata.2019.37","Circumpolar permafrost maps and geohazard indices for near-future infrastructure risk assessments","10.18739/A2D934","springer"
"10.1038/s41597-020-00578-z","Arctic tidal current atlas","10.18739/A23K67","springer"
"10.1038/s41597-020-00578-z","Arctic tidal current atlas","10.5065/D6P84921","springer"
"10.1007/s00300-019-02474-8","Isotope ecology detects fine-scale variation in Svalbard reindeer diet: implications for monitoring herbivory in the changing Arctic","10.18739/A27T10","springer"
"10.1038/s41597-020-00578-z","Arctic tidal current atlas","10.18739/A2HT2GB80","springer"
"10.1007/s10021-020-00559-8","Mechanisms of Persistent High Primary Production During the Growing Season in the Chukchi Sea","10.5065/D6RF5S30","springer"
"10.1038/s41597-020-00578-z","Arctic tidal current atlas","10.18739/A21S72","springer"
"10.1038/s41597-020-00578-z","Arctic tidal current atlas","10.18739/A21C7X","springer"
"10.1038/s41597-020-00578-z","Arctic tidal current atlas","10.5065/D62805QS","springer"
"10.1038/s41597-020-00578-z","Arctic tidal current atlas","10.18739/A2MT1D","springer"
"10.1038/s43247-020-00050-1","Arctic riparian shrub expansion indicates a shift from streams gaining water to those that lose flow","10.18739/A2WD3Q190","springer"
"10.1007/978-3-030-35291-2_2","Internet of Things for Environmental Sustainability and Climate Change","10.18739/A2KP7TQ9P","springer"
"10.1007/978-3-030-35291-2_2","Internet of Things for Environmental Sustainability and Climate Change","10.18739/A2F47GT18","springer"
"10.1007/978-3-030-35291-2_2","Internet of Things for Environmental Sustainability and Climate Change","10.18739/A25T3FZ9D","springer"
"10.1038/s41597-020-00578-z","Arctic tidal current atlas","10.5065/D64747X3","springer"
"10.1007/s00300-017-2179-z","Sipunculan fauna in the Pacific Arctic region: a significant component of benthic infaunal communities","10.5065/D60C4SVZ","springer"
"10.1038/s41597-020-00578-z","Arctic tidal current atlas","10.5065/D6FF3QF3","springer"
"10.1038/s41467-021-22656-5","Extreme melt season ice layers reduce firn permeability across Greenland","10.18739/A2985M","springer"
"10.1007/s00300-020-02781-5","Predictors of invertebrate biomass and rate of advancement of invertebrate phenology across eight sites in the North American Arctic","10.18739/A2CD5M","springer"
"10.1038/s41597-020-0490-y","CeutaOPEN, individual-based field observations of breeding snowy plovers Charadrius nivosus","10.18739/A2CD5M","springer"
