"article_id","article_title","dataset_id","source"
"10.1016/j.gca.2017.07.042","Constraining seasonal active layer dynamics and chemical weathering reactions occurring in North Slope Alaskan watersheds with major ion and isotope (δ34SSO4, δ13CDIC, 87Sr/86Sr, δ44/40Ca, and δ44/42Ca) measurements","10.18739/A2FH1R","xdd"
"10.1029/2019JC015569","How Machine Learning and High‐Resolution Imagery Can Improve Melt Pond Retrieval From MODIS Over Current Spectral Unmixing Techniques","10.18739/A22Z12P4J","xdd"
"10.1029/2018JF004798","Climate Effects on Firn Permeability are Preserved within a Firn Column","10.18739/A20C4SJ7J","xdd"
"10.1029/2019JG005343","Relative Impact of Sea Ice and Temperature Changes on Arctic Marine Production","10.5065/D6Q23X81","xdd"
"10.1029/2018MS001524","E3SMv0‐HiLAT: A Modified Climate System Model Targeted for the Study of High Latitude Processes","10.5065/D6Q23X81","xdd"
"10.1016/j.dsr2.2016.08.009","3-D water properties and geostrophic circulation on the eastern Bering Sea shelf","10.5065/D6GT5K65","xdd"
"10.1002/2017JG004002","Spatial and temporal variation in methane concentrations, fluxes, and sources in lakes in Arctic Alaska","10.18739/A2NW2S","xdd"
"10.1002/ecs2.2735","Decoupled above- and belowground responses to multi-decadal nitrogen and phosphorus amendments in two tundra ecosystems","10.6073/pasta/8a2999c9ed297a184aaca7057e1ae177","xdd"
"10.1029/2020GL089894","Carbon dioxide and methane flux in a dynamic Arctic tundra landscape: Decadal‐scale impacts of ice‐wedge degradation and stabilization","10.18739/A25W5K","xdd"
"10.1029/2018JG004528","Ice Wedge Degradation and Stabilization Impact Water Budgets and Nutrient Cycling in Arctic Trough Ponds","10.18739/A25W5K","xdd"
"10.1016/j.dsr2.2016.08.009","3-D water properties and geostrophic circulation on the eastern Bering Sea shelf","10.5065/D6NG4NM3","xdd"
"10.1029/2020GB006629","Summertime biogenic silica production and silicon limitation in the Pacific Arctic Region from 2006 to 2016","10.5065/D6FT8J2S","xdd"
"10.1016/j.dsr2.2018.06.010","A decade of summertime measurements of phytoplankton biomass, productivity and assemblage composition in the Pacific Arctic Region from 2006 to 2016","10.5065/D6FT8J2S","xdd"
"10.1002/2015EA000125","Reproducibly Estimating and Evaluating Supraglacial Lake Depth With Landsat 8 and Other Multispectral Sensors","10.5065/D6S46Q0D","xdd"
"10.1029/2020JC016160","Nutrient‐rich gravity current formed by upwelling in Barrow Canyon: high resolution observations","10.18739/A28S4JP6K","xdd"
"10.1016/j.dsr2.2019.04.005","High-latitude benthic bivalve biomass and recent climate change: Testing the power of live-dead discordance in the Pacific Arctic","10.5065/D6M043GJ","xdd"
"10.1002/2017JG004002","Spatial and temporal variation in methane concentrations, fluxes, and sources in lakes in Arctic Alaska","10.18739/A2PW3G","xdd"
"10.1016/j.dsr2.2019.04.005","High-latitude benthic bivalve biomass and recent climate change: Testing the power of live-dead discordance in the Pacific Arctic","10.18739/A2KK94B8Q","xdd"
