"","id","dateUploaded","datasource","title"
"1","doi:10.18739/A2331H","2016-04-02T03:33:20.982Z","urn:node:ARCTIC","Dec 19"
"2","doi:10.18739/A2D04D","2016-04-02T03:55:40.719Z","urn:node:ARCTIC","Nov 1"
"3","doi:10.18739/A2GX44T8M","2019-04-04T18:49:30.470Z","urn:node:ARCTIC","Carbon monoxide (CO) measurements in ice cores from Greenland Summit: investigation of in situ CO production, 2015-2019"
"4","doi:10.5065/D6GF0RHK","2016-04-02T07:00:52.074Z","urn:node:ARCTIC","HLY-07-01 Nitrate Isotope Data [Granger, J.]"
"5","doi:10.18739/A2Z365","2016-09-15T18:41:07.353Z","urn:node:ARCTIC","Hydrographic CCGS Louis S. St-Laurent Cruise CTD and Geochemistry Data 2015"
"6","doi:10.18739/A2QN4R","2017-07-13T21:46:36.408Z","urn:node:ARCTIC","Photogrammetric scans of aerial photographs of North American glaciers, 1996. Roll 1 tiffs - Fiducials"
"7","doi:10.18739/A2QF9K","2017-08-22T21:12:59.471Z","urn:node:ARCTIC","Hydroxyl (OH) airglow image data, Alaska, March 22, 2012"
"8","doi:10.5065/D65T3HJ8","2016-04-02T13:10:15.145Z","urn:node:ARCTIC","HLY-02-03 Dissolved Organic Carbon (DOC) Data [Hansell, D. and N.R. Bates]"
"9","doi:10.18739/A2T044","2016-04-02T05:00:40.260Z","urn:node:ARCTIC","Jan 21, 2012"
"10","doi:10.18739/A2CG59","2018-04-09T21:45:51.811Z","urn:node:ARCTIC","WHOI Ice Tethered Profiler #11"
"11","doi:10.5065/D6VT1Q6Q","2016-04-02T11:38:08.584Z","urn:node:ARCTIC","Geochemical analyses of Icelandic tephra preserved in lake sediments"
"12","doi:10.18739/A29C95","2016-04-02T04:43:55.926Z","urn:node:ARCTIC","March 13, 2012"
"13","doi:10.5065/D6JW8BX4","2016-04-02T12:15:02.231Z","urn:node:ARCTIC","HLY-02-01 ADCP Data (30-min Averages) [Muenchow, A.]"
"14","doi:10.18739/A2SC4M","2018-05-02T22:36:03.624Z","urn:node:ARCTIC","SWERUS-C3 Expedition EK80 sonar data, Eastern Siberian Arctic margin, October 1 - 2, 2014"
"15","doi:10.5065/D647480D","2016-04-02T11:36:45.366Z","urn:node:ARCTIC","ArcticRIMS: NCEP Reanalysis Temperature"
"16","doi:10.18739/A2GP9T","2016-04-02T05:32:59.365Z","urn:node:ARCTIC","BeringFall2013_video_BeringFlight"
"17","doi:10.5065/D6930R4N","2016-04-02T06:34:07.581Z","urn:node:ARCTIC","HLY-08-03 Raw Knudsen 320B/R Depth Sounder Data [Sambrotto/LDEO]"
"18","doi:10.18739/A2SX64880","2018-10-29T18:18:49.655Z","urn:node:ARCTIC","Growing season, non-growing season and annual methane (CH4) fluxes from temperate, boreal, and Arctic wetlands and uplands (synthesis), 1989-2016"
"19","doi:10.5065/D6NG4NQF","2016-04-02T13:07:23.756Z","urn:node:ARCTIC","HLY-04-03 Weather Logs [USCG]"
"20","doi:10.18739/A2631F","2016-04-02T04:27:00.543Z","urn:node:ARCTIC","Referencing Layers for Remote Sensing Products"
"21","doi:10.5065/D68S4N0Q","2016-04-02T12:55:26.249Z","urn:node:ARCTIC","Chukchi Sea Sediment Core Lipid Analysis, Station 2 (ASCII) [Harvey, R.]"
"22","doi:10.18739/A2C89R","2016-04-02T05:57:44.510Z","urn:node:ARCTIC","Mitchell 2009 Mechanisms of Glacial Ablation at Linnébreen, Svalbard, Norwegian Arctic"
"23","doi:10.18739/A2DC12","2017-08-29T17:14:27.398Z","urn:node:ARCTIC","Hydroxyl (OH) airglow image data, Alaska, December 7, 2012"
"24","doi:10.5065/D6BP010B","2016-04-02T14:51:35.594Z","urn:node:ARCTIC","Wadati Conference Hydrologic Response Abstract [Hinzman, L., D. Kane, D. Goering]"
"25","doi:10.18739/A2ZS2KC8C","2019-04-15T19:17:03.246Z","urn:node:ARCTIC","Geochemical and stable isotope composition data from precipitation, runoff, snow and ice collected in Lake Peters watershed, Arctic Wildlife Refuge, Alaska, 2015-2018"
"26","doi:10.18739/A2RF6R","2017-07-03T20:40:27.912Z","urn:node:ARCTIC","Photogrammetric scans of aerial photographs of North American glaciers, 1994. Roll 1 thumbnails"
"27","doi:10.18739/A2883J","2017-09-08T01:14:59.734Z","urn:node:ARCTIC","Photogrammetric scans of aerial photographs of North American glaciers, 1978. Roll 5 jpegs"
"28","doi:10.18739/A2VG48","2018-04-09T21:48:05.854Z","urn:node:ARCTIC","WHOI Ice Tethered Profiler #10"
"29","doi:10.18739/A2D95W","2016-12-08T01:36:50.327Z","urn:node:ARCTIC","Passive acoustic data from A3 in the Bering Strait for December 2014"
"30","doi:10.5065/D6NV9GD1","2016-04-02T15:36:50.739Z","urn:node:ARCTIC","Council Cover Data (Excel) [Copass, C.]"
