"article_id","article_title","dataset_id","source"
"10.1371/journal.pone.0254418","Lingering Chukchi Sea sea ice and Chukchi Sea mean winds influence population age structure of euphausiids (krill) found in the bowhead whale feeding hotspot near Pt. Barrow, Alaska","10.18739/A2CP40","plos"
"10.1371/journal.pone.0231178","Seasonal and latitudinal variations in sea ice algae deposition in the Northern Bering and Chukchi Seas determined by algal biomarkers","10.18739/A2HH6C58X","plos"
"10.1371/journal.pone.0231178","Seasonal and latitudinal variations in sea ice algae deposition in the Northern Bering and Chukchi Seas determined by algal biomarkers","10.18739/A2BR8MG32","plos"
NA,NA,"doi:10.18739/A2Q814R67","plosError in curl::curl_fetch_memory(x$url$url, handle = x$url$handle): Failed to connect to api.plos.org port 80: Connection refused
"
NA,NA,"doi:10.5065/D6J1016B","plosError in curl::curl_fetch_memory(x$url$url, handle = x$url$handle): Failed to connect to api.plos.org port 80: Connection refused
"
NA,NA,"doi:10.18739/A2PC2T86B","plosError in curl::curl_fetch_memory(x$url$url, handle = x$url$handle): Timeout was reached: [api.plos.org] Operation timed out after 10550 milliseconds with 0 out of 0 bytes received
"
NA,NA,"doi:10.18739/A29C6S13F","plosError in curl::curl_fetch_memory(x$url$url, handle = x$url$handle): Failed to connect to api.plos.org port 443: Connection refused
"
NA,NA,"doi:10.5065/D6PC30FW","plosError in curl::curl_fetch_memory(x$url$url, handle = x$url$handle): Failed to connect to api.plos.org port 443: Connection refused
"
"10.1371/journal.pone.0254418","Lingering Chukchi Sea sea ice and Chukchi Sea mean winds influence population age structure of euphausiids (krill) found in the bowhead whale feeding hotspot near Pt. Barrow, Alaska","10.5065/D6KW5D58","plos"
"10.1371/journal.pone.0231178","Seasonal and latitudinal variations in sea ice algae deposition in the Northern Bering and Chukchi Seas determined by algal biomarkers","10.18739/A2WH2DF2X","plos"
"10.1371/journal.pone.0254418","Lingering Chukchi Sea sea ice and Chukchi Sea mean winds influence population age structure of euphausiids (krill) found in the bowhead whale feeding hotspot near Pt. Barrow, Alaska","10.18739/A22C77","plos"
"10.1371/journal.pone.0254418","Lingering Chukchi Sea sea ice and Chukchi Sea mean winds influence population age structure of euphausiids (krill) found in the bowhead whale feeding hotspot near Pt. Barrow, Alaska","10.18739/A26W9D","plos"
NA,NA,"doi:10.5065/D65B00KJ","plosError in curl::curl_fetch_memory(x$url$url, handle = x$url$handle): Failed to connect to api.plos.org port 80: Connection refused
"
"10.1371/journal.pone.0254418","Lingering Chukchi Sea sea ice and Chukchi Sea mean winds influence population age structure of euphausiids (krill) found in the bowhead whale feeding hotspot near Pt. Barrow, Alaska","10.18739/A2JC7K","plos"
"10.1371/journal.pone.0251164","Biogeography and ecology of Ostracoda in the U.S. northern Bering, Chukchi, and Beaufort Seas","10.5065/D6DB7ZVJ","plos"
"10.1371/journal.pone.0254418","Lingering Chukchi Sea sea ice and Chukchi Sea mean winds influence population age structure of euphausiids (krill) found in the bowhead whale feeding hotspot near Pt. Barrow, Alaska","10.18739/A2ZK5M","plos"
"10.1371/journal.pone.0254418","Lingering Chukchi Sea sea ice and Chukchi Sea mean winds influence population age structure of euphausiids (krill) found in the bowhead whale feeding hotspot near Pt. Barrow, Alaska","10.18739/A2FK5Z","plos"
"10.1371/journal.pone.0254418","Lingering Chukchi Sea sea ice and Chukchi Sea mean winds influence population age structure of euphausiids (krill) found in the bowhead whale feeding hotspot near Pt. Barrow, Alaska","10.18739/A2NK3645R","plos"
"10.1371/journal.pone.0254418","Lingering Chukchi Sea sea ice and Chukchi Sea mean winds influence population age structure of euphausiids (krill) found in the bowhead whale feeding hotspot near Pt. Barrow, Alaska","10.18739/A20C4SK0M","plos"
"10.1371/journal.pone.0254418","Lingering Chukchi Sea sea ice and Chukchi Sea mean winds influence population age structure of euphausiids (krill) found in the bowhead whale feeding hotspot near Pt. Barrow, Alaska","10.18739/A2VM42X4H","plos"
"10.1371/journal.pone.0254418","Lingering Chukchi Sea sea ice and Chukchi Sea mean winds influence population age structure of euphausiids (krill) found in the bowhead whale feeding hotspot near Pt. Barrow, Alaska","10.18739/A2DK5N","plos"
"10.1371/journal.pone.0231178","Seasonal and latitudinal variations in sea ice algae deposition in the Northern Bering and Chukchi Seas determined by algal biomarkers","10.18739/A2804XK1F","plos"
NA,NA,"doi:10.18739/A2Q046","plosError in curl::curl_fetch_memory(x$url$url, handle = x$url$handle): Timeout was reached: [api.plos.org] Operation timed out after 10095 milliseconds with 0 out of 0 bytes received
"
NA,NA,"doi:10.18739/A2K61W","plosError in curl::curl_fetch_memory(x$url$url, handle = x$url$handle): Failed to connect to api.plos.org port 443: Connection refused
"
"10.1371/journal.pone.0251164","Biogeography and ecology of Ostracoda in the U.S. northern Bering, Chukchi, and Beaufort Seas","10.5065/D6VM49BM","plos"
"10.1371/journal.pone.0251164","Biogeography and ecology of Ostracoda in the U.S. northern Bering, Chukchi, and Beaufort Seas","10.5065/D6W9576K","plos"
"10.1371/journal.pone.0254418","Lingering Chukchi Sea sea ice and Chukchi Sea mean winds influence population age structure of euphausiids (krill) found in the bowhead whale feeding hotspot near Pt. Barrow, Alaska","10.5065/D67H1GQV","plos"
NA,NA,"doi:10.18739/A2KW57H79","plosError in curl::curl_fetch_memory(x$url$url, handle = x$url$handle): Timeout was reached: [api.plos.org] Operation timed out after 10829 milliseconds with 0 out of 0 bytes received
"
"10.1371/journal.pone.0231178","Seasonal and latitudinal variations in sea ice algae deposition in the Northern Bering and Chukchi Seas determined by algal biomarkers","10.18739/A2XD0QX8B","plos"
NA,NA,"doi:10.18739/A2W66976B","plosError in curl::curl_fetch_memory(x$url$url, handle = x$url$handle): Failed to connect to api.plos.org port 443: Connection refused
"
NA,NA,"doi:10.18739/A2S323","plosError in curl::curl_fetch_memory(x$url$url, handle = x$url$handle): Failed to connect to api.plos.org port 443: Connection refused
"
"10.1371/journal.pone.0254418","Lingering Chukchi Sea sea ice and Chukchi Sea mean winds influence population age structure of euphausiids (krill) found in the bowhead whale feeding hotspot near Pt. Barrow, Alaska","10.18739/A2VP4B","plos"
NA,NA,"doi:10.18739/A22227","plosError in curl::curl_fetch_memory(x$url$url, handle = x$url$handle): Timeout was reached: [api.plos.org] Operation timed out after 10886 milliseconds with 0 out of 0 bytes received
"
NA,NA,"doi:10.18739/A2PR9C","plosError in curl::curl_fetch_memory(x$url$url, handle = x$url$handle): Failed to connect to api.plos.org port 443: Connection refused
"
NA,NA,"doi:10.18739/A2G74F","plosError in curl::curl_fetch_memory(x$url$url, handle = x$url$handle): Timeout was reached: [api.plos.org] Operation timed out after 10668 milliseconds with 0 out of 0 bytes received
"
